space,offset,size,field,value,reg,mask,bits_value,remark
hdr_base,0,4,magic,0xBAADF00D,,,,magic word
,4,4,crc32,,,,,crc of all data
,8,4,version,1.0.0.0,,,,
,12,4,date,0x20251205,,,,
,16,16,reserved,0xff,,,,
sys_base,32,8,name,sys,,,,
,40,4,r0,0x1D2197E0,,,,
,44,4,r1,0xC02EFA00,,,,
,48,4,r2,0xFFC92136,,,,
,52,4,r3,0xFCCC0B64,,,,
,56,4,r4,0x40000000,,,,
,60,4,r5,0x84072160,,,,
,64,4,r6,0x80088100,,,,
,68,4,r7,0x57E657C6,,,,
,72,4,r8,0xF87C72E4,,,,
,76,4,r9,0xB55D1327,,,,
,80,4,r10,0xF7EEB89A,,,,
,84,4,r11,0x00000000,,,,
,88,4,r12,0x00100000,,,,
,92,4,r13,0x00080000,,,,
,96,4,r14,0x00A80008,,,,
,100,4,r15,0x528809F6,,,,
,104,24,reserved,0xff,,,,
trx_base,128,8,name,trx,,,,
,136,4,r0,0x00000000,,,,
,140,4,r1,0x10347F15,,,,
,144,4,r2,0xFDA06807,,,,
,148,4,r3,0x28006208,,,,
,152,4,r4,0x63E0AF0B,,,,
,156,4,r5,0x187FDF55,,,,
,160,4,r6,0x8080CB0A,,,,
,164,4,r7,0x5225C979,,,,
,168,4,r8,0xC8330FC0,,,,
,172,4,r9,0x3937F39F,,,,
,176,4,r10,0x3EF9EB20,,,,
,180,4,r11,0xF7F0DA74,,,,
,184,4,r12,0x0B35EFD2,,,,
,188,4,r13,0x2FEF0872,,,,
,192,4,r14,0x9F993758,,,,
,196,4,r18,0xCED52788,,,,
,200,4,r19,0x81418980,,,,
,204,4,r20,0x4000007C,,,,
,208,4,r21,0xC0E79800,,,,
,212,4,r22,0x60000005,,,,
,216,4,r23,0x78803C06,,,,
,220,4,r24,0x4BC2E000,,,,
,224,4,r25,0xE4802010,,,,
,228,4,r26,0x00000000,,,,
,232,56,reserved,0xff,,,,
rc_base,288,8,name,rcbeken,,,,
,296,4,r0,0x00000309,,,,
,300,4,r1,0x00002000,,,,
,304,4,r2,0x00080008,,,,
,308,4,r3,0x00080050,,,,
,312,4,r4,0x00080050,,,,
,316,4,r5,0x00080008,,,,
,320,4,r6,0x00000010,,,,
,324,4,r7,0x00000000,,,,
,328,4,r8,0x00100004,,,,
,332,4,r9,0x08000800,,,,
,336,4,r10,0x0000B320,,,,
,340,4,r11,0x08000800,,,,
,344,4,r12,0x0FFF0FFF,,,,
,348,4,r13,0x08000800,,,,
,352,4,r15,0x00000000,,,,
,356,4,r16,0x00000000,,,,
,360,4,r17,0x00000000,,,,
,364,4,r18,0x00000000,,,,
,368,4,r19,0x02000000,,,,
,372,4,r21,0x000000FE,,,,
,376,4,r22,0x000000FF,,,,
,380,4,r23,0x00020000,,,,
,384,4,r24,0x007E07F0,,,,
,388,4,r25,0x000A7900,,,,
,392,4,r26,0x00000006,,,,
,396,4,r27,0x00000E08,,,,
,400,4,r28,0x00000100,,,,
,404,4,r31,0xDDFD0339,,,,
,408,4,r32,0xDDED0339,,,,
,412,4,r33,0xDA01BCF0,,,,
,416,4,r34,0xDDFD0339,,,,
,420,4,r35,0x00008080,,,,
,424,4,r36,0x00008080,,,,
,428,4,r37,0x00008080,,,,
,432,4,r38,0x00008080,,,,
,436,4,r39,0x00008080,,,,
,440,4,r40,0x00008080,,,,
,444,4,r41,0x00008080,,,,
,448,4,r42,0x00008080,,,,
,452,4,r43,0x00008080,,,,
,456,4,r44,0x00008080,,,,
,460,4,r45,0x00008080,,,,
,464,4,r46,0x00008080,,,,
,468,4,r47,0x00008080,,,,
,472,4,r48,0x00008080,,,,
,476,4,r49,0x00008080,,,,
,480,4,r50,0x00008080,,,,
,484,4,r51,0x00200000,,,,
,488,4,r52,0x022F0012,,,,
,492,4,r53,0x007F3012,,,,
,496,4,r54,0x007F3012,,,,
,500,4,r55,0x027F7F12,,,,
,504,4,r56,0x00000000,,,,
,508,4,r57,0x08000000,,,,
,512,4,r58,0x00000108,,,,
,516,4,r59,0x0000003F,,,,
,520,4,r61,0x00000000,,,,
,524,20,reserved,0xff,,,,
pm_base,544,8,name,pm,,,,
,552,1,wifipll_vanaldosel,0xF,,,,
,553,1,wifipll_hpssren,0x1,,,,
,554,1,wifipll_anabufsel_tx1,0x1,,,,
,555,1,wifipll_anabufsel_tx0,0x1,,,,
,556,1,wifipll_anabufsel_rx1,0x1,,,,
,557,1,wifipll_anabufsel_rx0,0x1,,,,
,558,1,btpll_vanaldosel_high,0xa,,,,
,559,1,btpll_vanaldosel_mid,0x7,,,,
,560,1,btpll_vanaldosel_low,0x4,,,,
,561,1,btpll_hpssren,0x0,,,,
,562,1,btpll_anabufsel_tx1,0x0,,,,
,563,1,btpll_anabufsel_tx0,0x1,,,,
,564,1,btpll_anabufsel_rx1,0x0,,,,
,565,1,btpll_anabufsel_rx0,0x1,,,,
,566,1,lvsleep_vanaldosel,0x2,,,,
,567,1,lvsleep_dldohp_high_temp,0x0,,,,
,568,1,lvsleep_aldohp_high_temp,0x0,,,,
,569,1,lvsleep_dldohp_low_temp,0x1,,,,
,570,1,lvsleep_aldohp_low_temp,0x0,,,,
,571,1,lvsleep_bypassen,0x1,,,,
,572,1,lvsleep_ioldolp,0x1,,,,
,573,1,lvsleep_iburstsel,0x3,,,,
,574,1,lvsleep_mrosci_cal,0x0,,,,
,575,1,lvsleep_avea_sel,0x3,,,,
,576,1,lvsleep_vcorehsel,0x6,,,,
,577,1,vcorelsel,0x6,,,,
,578,94,reserved,0xff,,,,
rf_config,672,8,name,rf_cfg,,,,
,680,4,pwr_gain_base_11b,0x20BB7C00,,,,
